image,panel_id,x,y,z
DJI_20220410132215_0013_T_JPG.rf.6395e132fcc9403229461e112f345fe2.jpg,1,-0.0788,-0.0381,0.2118
DJI_20220410132215_0013_T_JPG.rf.6395e132fcc9403229461e112f345fe2.jpg,2,0.0284,-0.0544,0.3137
DJI_20220410132215_0013_T_JPG.rf.6395e132fcc9403229461e112f345fe2.jpg,3,-0.1069,0.0004,0.2863
DJI_20220410132215_0013_T_JPG.rf.6395e132fcc9403229461e112f345fe2.jpg,4,0.0302,0.0032,0.3451
DJI_20220410132215_0013_T_JPG.rf.6395e132fcc9403229461e112f345fe2.jpg,5,-0.1504,-0.1415,0.4078
DJI_20220410132215_0013_T_JPG.rf.6395e132fcc9403229461e112f345fe2.jpg,6,0.0495,-0.1838,0.5373
DJI_20220410132215_0013_T_JPG.rf.6395e132fcc9403229461e112f345fe2.jpg,7,-0.1502,0.0751,0.4039
DJI_20220410132215_0013_T_JPG.rf.6395e132fcc9403229461e112f345fe2.jpg,8,0.0373,0.0867,0.4588
DJI_20220410132215_0013_T_JPG.rf.6395e132fcc9403229461e112f345fe2.jpg,9,-0.1765,0.1654,0.4706
DJI_20220410132215_0013_T_JPG.rf.6395e132fcc9403229461e112f345fe2.jpg,10,0.0403,0.1778,0.5059
DJI_20220410132218_0014_T_JPG.rf.bc458e39cd76405ae43a46347d807ae8.jpg,1,0.0082,-0.0345,0.0902
DJI_20220410132218_0014_T_JPG.rf.bc458e39cd76405ae43a46347d807ae8.jpg,2,-0.1533,-0.037,0.4157
DJI_20220410132218_0014_T_JPG.rf.bc458e39cd76405ae43a46347d807ae8.jpg,3,0.0231,-0.0214,0.2588
DJI_20220410132218_0014_T_JPG.rf.bc458e39cd76405ae43a46347d807ae8.jpg,4,-0.1923,0.0473,0.5216
DJI_20220410132218_0014_T_JPG.rf.bc458e39cd76405ae43a46347d807ae8.jpg,5,0.0481,0.062,0.5922
DJI_20220410132218_0014_T_JPG.rf.bc458e39cd76405ae43a46347d807ae8.jpg,6,-0.1923,0.1434,0.5216
DJI_20220410132218_0014_T_JPG.rf.bc458e39cd76405ae43a46347d807ae8.jpg,7,0.0365,0.1327,0.4667
DJI_20220410132218_0014_T_JPG.rf.bc458e39cd76405ae43a46347d807ae8.jpg,8,-0.0459,-0.0492,0.1255
DJI_20220410132218_0014_T_JPG.rf.bc458e39cd76405ae43a46347d807ae8.jpg,9,-0.1123,-0.0827,0.3059
DJI_20220410132218_0014_T_JPG.rf.bc458e39cd76405ae43a46347d807ae8.jpg,10,0.0555,-0.1637,0.6235
DJI_20220410132221_0015_T_JPG.rf.3ec35a909ab8e77d805a6c536a4d32e3.jpg,1,-0.1656,-0.081,0.4471
DJI_20220410132221_0015_T_JPG.rf.3ec35a909ab8e77d805a6c536a4d32e3.jpg,2,0.0331,-0.061,0.3647
DJI_20220410132221_0015_T_JPG.rf.3ec35a909ab8e77d805a6c536a4d32e3.jpg,3,-0.1362,0.0011,0.3647
DJI_20220410132221_0015_T_JPG.rf.3ec35a909ab8e77d805a6c536a4d32e3.jpg,4,0.0261,0.0042,0.298
DJI_20220410132221_0015_T_JPG.rf.3ec35a909ab8e77d805a6c536a4d32e3.jpg,5,-0.0799,-0.0748,0.2157
DJI_20220410132221_0015_T_JPG.rf.3ec35a909ab8e77d805a6c536a4d32e3.jpg,6,-0.1684,0.0853,0.451
